id,next,Especie,Zona,DensidadInicial,SiteIndex,Manejo,Condicion,α,β,γ
1,,Eucapyltus,1,800,24,NA,SinManejo,2.371,1.778,0.000
2,,Eucapyltus,1,800,26,NA,SinManejo,2.371,1.778,0.000
3,,Eucapyltus,1,800,28,NA,SinManejo,5.464,1.591,0.000
4,,Eucapyltus,1,800,30,NA,SinManejo,7.709,1.519,0.000
5,,Eucapyltus,1,800,32,NA,SinManejo,10.228,1.462,6.240
6,,Eucapyltus,1,1250,24,NA,SinManejo,2.379,1.774,0.000
7,,Eucapyltus,1,1250,26,NA,SinManejo,3.794,1.666,0.000
8,,Eucapyltus,1,1250,28,NA,SinManejo,5.307,1.600,0.000
9,,Eucapyltus,1,1250,30,NA,SinManejo,7.779,1.513,0.000
10,,Eucapyltus,1,1250,32,NA,SinManejo,10.304,1.457,5.660
11,,Eucapyltus,2,800,24,NA,SinManejo,3.221,1.647,0.000
12,,Eucapyltus,2,800,26,NA,SinManejo,3.612,1.656,0.000
13,,Eucapyltus,2,800,28,NA,SinManejo,4.559,1.618,0.000
14,,Eucapyltus,2,800,30,NA,SinManejo,5.926,1.567,0.000
15,,Eucapyltus,2,800,32,NA,SinManejo,7.300,1.532,0.000
16,,Eucapyltus,2,1250,24,NA,SinManejo,3.197,1.650,0.000
17,,Eucapyltus,2,1250,26,NA,SinManejo,3.729,1.645,0.000
18,,Eucapyltus,2,1250,28,NA,SinManejo,5.129,1.574,0.000
19,,Eucapyltus,2,1250,30,NA,SinManejo,6.201,1.547,0.000
20,,Eucapyltus,2,1250,32,NA,SinManejo,7.592,1.514,0.000
21,23,Pinus,6,1250,32,Intensivo,PostRaleo1250-700,0.421,2.253,3.485
22,24,Pinus,7,1250,32,Intensivo,PostRaleo1250-700,0.576,2.044,3.968
23,,Pinus,6,1250,32,Intensivo,PostPodayRaleo700-300,122.491,0.562,-416.814
24,,Pinus,7,1250,32,Intensivo,PostPodayRaleo700-300,22.934,0.936,-171.991
25,27,Pinus,6,1250,29,Intensivo2,PostRaleo1250-700,0.421,2.253,3.485
26,28,Pinus,7,1250,29,Intensivo2,PostRaleo1250-700,0.070,2.850,7.522
27,,Pinus,6,1250,29,Intensivo2,PostPodayRaleo700-300,122.491,0.562,-416.814
28,,Pinus,7,1250,29,Intensivo2,PostPodayRaleo700-300,40.929,0.774,-227.526
29,31,Pinus,6,1250,26,Multipropósito,PostRaleo1250-700,0.069,2.791,1.441
30,32,Pinus,7,1250,26,Multipropósito,PostRaleo1250-700,0.047,2.905,8.454
31,,Pinus,6,1250,26,Multipropósito,PostPodayRaleo700-300,58.378,0.701,-298.450
32,,Pinus,7,1250,26,Multipropósito,PostPodayRaleo700-300,56.816,0.666,-260.576
33,,Pinus,6,1250,23,Pulpable,PostRaleo1250-700,9.592,1.169,-97.246
34,,Pinus,7,1250,23,Pulpable,PostRaleo1250-700,20.852,0.844,-103.893
